"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/10/2022","Ancestry.com","ANC*ANCESTRY.COM 800-2623787 UT","35.48","debit","Hobbies","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/10/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","18.23","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/10/2022","Burger King","BURGER KING #7746 Q07 CEDAR RAPIDS IA","17.21","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/10/2022","DIVIDEND RECEIVED CARRIER GLOBAL CORPORATION COM (CARR) (Cash)","DIVIDEND RECEIVED CARRIER GLOBAL CORPORATION COM (CARR) (Cash)","8.70","credit","Dividend & Cap Gains","INDIVIDUAL - TOD","",""
"2/09/2022","Lenscrafters","LENSCRAFTERS 0171 CEDAR RAPIDS IA","697.98","debit","Eyecare","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/09/2022","Apple","APPLE.COM/BILL 866-712-7753 CA","3.20","debit","Electronics & Software","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","Instacart","INSTACART*SUBSCRIPTION SAN FRANCISCOCA","106.30","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","Goodwill Industries","GOODWILL INDUSTRIES OF CEDAR RAPIDS IA","68.00","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","Casey's","CASEYS #2772 CEDAR RAPIDS IA","6.94","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","CVS","CVS/PHARMACY #08532 800-746-7287 IA","1.00","debit","Pharmacy","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","Amazon","AMZN MKTP US*EF3T809E3 AMZN.COM/BILLWA","13.80","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","State Farm","STATE FARM INSURANCE 8009566310 IL","171.24","debit","Auto Insurance","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","14.66","debit","Entertainment","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/08/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","119.85","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/07/2022","LATE FEE","LATE FEE","40.00","debit","Late Fee","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/07/2022","AUTOMATIC PAYMENT - THANK YOU","AUTOMATIC PAYMENT - THANK YOU","3823.88","credit","Credit Card Payment","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/07/2022","ADJUSTMENT-PAYMENTS","ADJUSTMENT-PAYMENTS","3823.88","debit","Credit Card Payment","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/07/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","18.23","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/05/2022","Casey's","CASEYS #2772 CEDAR RAPIDS IA","30.90","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/05/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","18.23","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/05/2022","McDonald's","MCDONALD'S F38881 INDEPENDENCE IA","3.21","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/04/2022","BLT*BOLT COLLECTIVE 800-2658053 CA","BLT*BOLT COLLECTIVE 800-2658053 CA","0.05","debit","Misc Expenses","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/04/2022","CVS","CVS/PHARMACY #08532 CEDAR RAPIDS IA","18.23","debit","Pharmacy","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/04/2022","CVS","CVS/PHARMACY #08532 800-746-7287 IA","9.65","debit","Pharmacy","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/03/2022","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","17.43","debit","Entertainment","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/03/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","157.35","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/02/2022","ALLEE SALON AND SP FAIRFAX IA","SQ *ALLEE SALON AND SP FAIRFAX IA","151.14","debit","Personal Care","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/02/2022","Jimmy John's","JIMMY JOHNS - 1170 CEDAR RAPIDS IA","23.81","debit","Restaurants","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/02/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","18.23","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/02/2022","Lenscrafters","LENSCRAFTERS 0171 CEDAR RAPIDS IA","705.26","debit","Eyecare","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/01/2022","Amazon","AMAZON.COM*CE1W92BC3 AMZN.COM/BILLWA","42.79","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/01/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","23.22","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/01/2022","Casey's","CASEYS #2772 CEDAR RAPIDS IA","17.29","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/31/2022","Amazon","AMAZON.COM*IW37R3U63 A AMZN.COM/BILLWA","4.14","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/31/2022","Burger King","BURGER KING #7746 Q07 CEDAR RAPIDS IA","9.51","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/31/2022","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","0.03","debit","Investments","JOINT WROS - TOD","",""
"1/31/2022","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","0.03","credit","Dividend & Cap Gains","JOINT WROS - TOD","",""
"1/31/2022","REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","0.06","debit","Investments","ROLLOVER IRA","",""
"1/31/2022","DIVIDEND RECEIVED STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","DIVIDEND RECEIVED STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","23.43","credit","Dividend & Cap Gains","ROLLOVER IRA","",""
"1/31/2022","REINVESTMENT STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","REINVESTMENT STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","23.43","debit","Sporting Goods","ROLLOVER IRA","",""
"1/31/2022","DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","0.06","credit","Dividend & Cap Gains","ROLLOVER IRA","",""
"1/31/2022","DIVIDEND RECEIVED STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","DIVIDEND RECEIVED STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","82.99","credit","Dividend & Cap Gains","ROLLOVER IRA","",""
"1/31/2022","REINVESTMENT STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","REINVESTMENT STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","642.94","debit","Sporting Goods","ROLLOVER IRA","",""
"1/31/2022","REINVESTMENT FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","REINVESTMENT FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","20.22","debit","Sporting Goods","ROLLOVER IRA","",""
"1/31/2022","DIVIDEND RECEIVED FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","DIVIDEND RECEIVED FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","20.22","credit","Dividend & Cap Gains","ROLLOVER IRA","",""
"1/31/2022","DIVIDEND RECEIVED STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","DIVIDEND RECEIVED STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","642.94","credit","Dividend & Cap Gains","ROLLOVER IRA","",""
"1/31/2022","REINVESTMENT STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","REINVESTMENT STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","82.99","debit","Sporting Goods","ROLLOVER IRA","",""
"1/29/2022","CVS","CVS/PHARMACY #08532 CEDAR RAPIDS IA","5.00","debit","Pharmacy","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/29/2022","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","14.66","debit","Entertainment","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/29/2022","Google Storage","GOOGLE *GOOGLE STORAGE G.CO/HELPPAY#CA","2.13","debit","Electronics & Software","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/29/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","7.99","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/28/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","75.82","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/28/2022","YOU SOLD STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","YOU SOLD STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","71688.66","credit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER COHEN & STEERS REALTY SHARES (CSRSX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER COHEN & STEERS REALTY SHARES (CSRSX) (Cash)","3404.11","debit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS INTERNATIONAL FUND (FILFX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS INTERNATIONAL FUND (FILFX) (Cash)","26450.80","debit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU SOLD STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","YOU SOLD STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","52671.03","credit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS EMERGING MARKETS (FSAMX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS EMERGING MARKETS (FSAMX) (Cash)","9603.71","debit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","992.09","debit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS SMALL-MID CAP FD (FSCFX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS SMALL-MID CAP FD (FSCFX) (Cash)","13228.49","debit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","1474.61","debit","Investments","ROLLOVER IRA","",""
"1/28/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS LARGE CAP FUND (FALCX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS LARGE CAP FUND (FALCX) (Cash)","69205.86","debit","Investments","ROLLOVER IRA","",""
"1/27/2022","Hy-Vee","HY-VEE C RPD CARIBOU 2 CEDAR RAPIDS IA","8.75","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/27/2022","Sam's Club","SAM'S CLUB 008162 CEDAR RAPIDS IA , PINEAPPLE SPEARS, GATORADE COOL BLUE, SANDWICH THINS, B&W DRIZZLECORN, PRETZEL CRISPS, NV S&S ALMOND 36CT, NV S&S PEANUT 36CT","48.81","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/27/2022","CVS","CVS/PHARMACY #08532 CEDAR RAPIDS IA","85.31","debit","Pharmacy","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/27/2022","FAS MART 5149 CEDAR RAPIDS IA","FAS MART 5149 CEDAR RAPIDS IA","8.36","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/26/2022","BLUE OX MUSIC FESTIVAL 715-210-4100 WI","BLUE OX MUSIC FESTIVAL 715-210-4100 WI","539.78","debit","Music","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/26/2022","Amazon","AMZN MKTP US*0K1VW0DE3 AMZN.COM/BILLWA","6.41","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/26/2022","Pancheros Mexican Grill","PANCHEROS MEXICAN GRI CEDAR RAPIDS IA","25.20","debit","Restaurants","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/25/2022","Amazon","AMAZON.COM*GW2YA3AR3 A AMZN.COM/BILLWA","11.76","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/25/2022","DHB SUPPORT8556910909 855-691-0909 AZ","DHB SUPPORT8556910909 855-691-0909 AZ","8.73","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/25/2022","BREAD GARDEN CAFE POME IOWA CITY IA","BREAD GARDEN CAFE POME IOWA CITY IA","4.50","debit","Food & Dining","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/25/2022","Casey's","CASEYS #2772 CEDAR RAPIDS IA","36.02","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/25/2022","HP Instant Ink","HP *INSTANT INK 855-785-2777 CA","3.17","debit","Printing","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/25/2022","McDonald's","MCDONALD'S M2058 CEDAR RAPIDS IA","9.83","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/25/2022","Casey's","CASEYS #2772 CEDAR RAPIDS IA","1.92","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/23/2022","Amazon","AMAZON.COM*4G1M905F3 A AMZN.COM/BILLWA","11.76","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/22/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","50.98","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/21/2022","Casey's","CASEYS #2772 CEDAR RAPIDS IA","15.30","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/21/2022","YOUTUBE TV G.CO/HELPPAY#CA","GOOGLE *YOUTUBE TV G.CO/HELPPAY#CA","42.79","debit","Movies & DVDs","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/21/2022","Amazon","AMAZON.COM*Q29U43XR3 AMZN.COM/BILLWA","7.43","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/21/2022","BLUEGRASS TRADING FRIENDSVILLE TN","BLUEGRASS TRADING FRIENDSVILLE TN","13.99","debit","Restaurants","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/21/2022","MUSICIANS PRO SHOP AND IOWA CITY IA","MUSICIANS PRO SHOP AND IOWA CITY IA","19.06","debit","Music","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"1/21/2022","McDonald's","MCDONALD'S M2040 IOWA CITY IA","9.85","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
